"sample_name","Sample","Sample_title","Organism.x","Ecotype","lat_lon","LAT","LON"
"AN20TSCR000168","AN20T168","K_MSV1622","Andropogon amethystinus","MSV 1622","4.4468S,35.3892E",-4.4468,35.3892
"AN20TSCR000172","AN20T172","K_RGD181","Andropogon ivohibensis","RGD 181","20.6599S,46.57949E",-20.6599,46.57949
"AN20TSCR000177","AN20T177","K_MSV1413","Chrysopogon humbertianus","MSV 1413","25.5843S,45.1398E",-25.5843,45.1398
"AN20TSCR000191","AN20T191","K_NOP139","Heteropogon melanocarpus","NOP 139","20.5961S,46.5629E",-20.5961,46.5629
"AN20TSCR000194","AN20T194","K_MSV1893","Ischaemum heterotrichum","MSV 1893","16.4011S,49.82616E",-16.4011,49.82616
"AN20TSCR000195","AN20T195","K_MSV1299","Ischaemum koleostachys","MSV 1299","22.5389S,45.3785E",-22.5389,45.3785
"AN20TSCR000196","AN20T196","K_NOP99","Ischaemum polystachyum","NOP 99","20.5962S,46.8588E",-20.5962,46.8588
"AN20TSCR000202","AN20T021","AN20T021","Andropogon eucomus ssp. huillensis","NOP 116","20.6231S,46.6136E",-20.6231,46.6136
"AN20TSCR000202","AN20T021","AN20T021","Andropogon eucomus ssp. huillensis","NOP 116","20.6231S,46.6136E",-20.6231,46.6136
"AN20TSCR000205","AN20T036","AN20T036","Andropogon ivohibensis","RGD 181","20.6599S,46.5794E",-20.6599,46.5794
"AN20TSCR000205","AN20T036","AN20T036","Andropogon ivohibensis","RGD 181","20.6599S,46.5794E",-20.6599,46.5794
"AN20TSCR000206","AN20T039","AN20T039","Andropogon itremoensis","MSV 1987","20.5572S,46.4252E",-20.5572,46.4252
"AN20TSCR000206","AN20T039","AN20T039","Andropogon itremoensis","MSV 1987","20.5572S,46.4252E",-20.5572,46.4252
"AN20TSCR000210","AN20T005","AN20T005","Sorghum arundinaceum","AUB & Bookout 106","18.0343N,67.0675W",18.0343,-67.0675
